batch_index,num_vectors,latency_s,workers_at_time
439,50,0.918564769999648,5
440,50,1.0177166749999742,5
441,50,1.0158640839981672,5
442,50,0.8619697549984267,5
443,50,0.865672703999735,5
444,50,0.8650686649998534,5
445,50,0.8652817720030725,5
446,50,0.8800501699988672,5
447,50,1.1565548090002267,5
448,50,1.2000312410018523,5
449,50,0.8843568760021299,5
450,50,0.8680908389978867,5
451,50,0.9128418769978452,5
452,50,0.9178910669979814,5
453,50,1.0184630689982441,5
454,50,1.02291487399998,5
455,50,0.9108194149994233,5
456,50,0.9166020340016985,5
457,50,1.0849691029980022,5
458,50,1.0502956689997518,5
459,50,1.1228827279992402,5
460,50,0.9133363850014575,5
461,50,0.9154789320018608,5
462,50,0.9167860809975537,5
463,50,0.9153557309982716,5
464,50,1.0188026010000613,5
465,50,1.0171822459997202,5
466,50,0.9161895810029819,5
467,50,1.0163130149994686,5
468,50,1.0181281419972947,5
469,50,0.9164241150028829,5
470,50,1.017846679998911,5
471,50,0.9151778989980812,5
472,50,0.9159196330001578,5
473,50,0.9170624549988133,5
474,50,0.9138164169999072,5
475,50,0.9152538989983441,5
476,50,0.9000280029977148,5
477,50,0.9300445100016077,5
478,50,0.8553699479998613,5
479,50,1.0738925669975288,5
480,50,0.9194762020015332,5
481,50,1.015639586999896,5
482,50,1.0158820399992692,5
483,50,0.9153884799998195,5
484,50,0.9161711230008223,5
485,50,1.018299389997992,5
486,50,0.9166285989995231,5
487,50,0.9139807280007517,5
488,50,0.9161907730012899,5
489,50,0.9184930189985607,5
490,50,0.9111416619998636,5
491,50,0.9399726580013521,5
492,50,0.9937072669999907,5
493,50,1.0194838229981542,5
494,50,1.0177954980026698,5
495,50,1.0190158359982888,5
496,50,1.017562660999829,5
497,50,1.0189428819976456,5
498,50,1.017917312001373,5
499,50,1.0213430450021406,5
500,50,0.9040216469984443,5
501,50,1.0271473869979673,5
502,50,1.0181384030001936,5
503,50,1.017711894997774,5
504,50,1.0167004590002762,5
505,50,0.9401597980031511,5
506,50,0.8945920530022704,5
507,50,1.2212117700000817,5
508,50,1.0173613499973726,5
509,50,1.024023011999816,5
510,50,1.0118755670009705,5
511,50,1.0174502660011058,5
512,50,1.210633513997891,5
513,50,1.1328195460009738,5
514,50,1.0177033799991477,5
515,50,1.0188466319996223,5
516,50,1.1309204520002822,5
517,50,1.01014911799939,5
518,50,1.220499015002133,5
519,50,1.0179752330004703,5
520,50,1.0212271490017883,5
521,50,0.9714340809987334,5
522,50,1.7777045310031099,5
523,50,1.017584117998922,5
524,50,0.9162962849986798,5
525,50,1.0248021979969053,5
526,50,1.0108616729994537,5
527,50,1.429479945996718,5
528,50,1.2228091959987069,5
529,50,1.0170286829998076,5
530,50,1.1303801920003025,5
531,50,0.9782474630010256,5
532,50,1.3921232959983172,5
533,50,1.2887325190022239,5
534,50,1.0168256030010525,5
535,50,1.0361942119998275,5
536,50,1.1021892819990171,5
537,50,1.3652849389982293,5
538,50,1.0790786369980196,5
539,50,0.9164979150009458,5
540,50,0.9257370550003543,5
541,50,1.0039276570023503,5
542,50,1.2235700960009126,5
543,50,1.0187089530008961,5
544,50,1.0169997179982602,5
545,50,1.0173894710023887,5
546,50,1.1394225740004913,5
547,50,0.8816103790013585,5
548,50,1.034824121001293,5
549,50,1.1165520199974708,5
550,50,1.0174758560024202,5
551,50,1.024781547999737,5
552,50,1.0103107590002764,5
553,50,1.2617434679996222,5
554,50,1.0814680279981985,5
555,50,0.9137496479997935,5
556,50,0.9156007099991257,5
557,50,0.9159083080012351,5
558,50,1.3240997720022278,5
559,50,1.2828672299983737,5
560,50,1.1628530380003212,5
561,50,1.2241309140008525,5
562,50,1.1578725760009547,5
563,50,0.9810469869989902,5
564,50,1.2217979529996228,5
565,50,1.0188126760003797,5
566,50,1.1257773750003253,5
567,50,0.9182815730018774,5
568,50,1.009062482000445,5
569,50,1.2236939200010966,5
570,50,1.0166013250018295,5
571,50,0.9265931669979182,5
572,50,1.0064396689995192,5
573,50,1.4256839599984232,5
574,50,1.3248730399973283,5
575,50,1.222459485001309,5
576,50,1.445819432999997,5
577,50,1.6501864310012024,5
578,50,1.3887906939999084,5
579,50,1.3253667579992907,5
580,50,1.3254465690006327,5
581,50,1.3373379399999976,5
582,50,1.2779510750006011,5
583,50,1.1564718520021415,5
584,50,1.1203924479996203,5
585,50,1.241497682996851,5
586,50,1.100388254999416,5
587,50,1.0190308809978887,5
588,50,1.3259761489971424,5
589,50,1.2208191659992735,5
590,50,1.231501173999277,5
591,50,1.4611042500000622,5
592,50,1.2811229139988427,5
593,50,1.0173747179978818,5
594,50,1.032667791001586,5
595,50,1.067734076998022,5
596,50,1.1081498690000444,5
597,50,1.7974083849985618,5
598,50,1.212492350001412,5
599,50,1.5599374909979815,5
600,50,1.0918477090017404,5
601,50,1.2210854590011877,5
602,50,1.0186586800009536,5
603,50,1.21844788800081,5
604,50,1.6361293310001201,5
605,50,1.4418020400007663,5
606,50,1.2089271109980473,5
607,50,1.1322416760012857,5
608,50,1.1076370470000256,5
609,50,1.3634648139995988,5
610,50,1.184835675998329,5
611,50,1.119494776998181,5
612,50,1.1307580369975767,5
613,50,1.1052473179988738,5
614,50,1.3256937539990759,5
615,50,1.02110019400061,5
616,50,1.0134077010006877,5
617,50,0.9122687570015842,5
618,50,1.254127405998588,5
619,50,0.9849137640012486,5
620,50,1.0190946920010902,5
621,50,0.9131556780012033,5
622,50,0.934861556001124,5
623,50,1.2213865660014562,5
624,50,1.1036069139991014,5
625,50,1.2231672529997013,5
626,50,0.9145620119998057,5
627,50,0.913608856000792,5
628,50,1.119444341999042,5
629,50,1.428307827001845,5
630,50,1.1195963079990179,5
